Dia,Estació,Nivell absolut (msnm),Percentatge volum embassat (%),Volum embassat (hm3)
11/04/2025,Embassament de la Llosa del Cavall (Navès),792.39,58.2,46.53
11/04/2025,Embassament de Susqueda (Osor),323.99,46.7,108.84
10/04/2025,Embassament de Foix (Castellet i la Gornal),100.47,99.6,3.73
10/04/2025,Embassament de la Llosa del Cavall (Navès),792.22,57.8,46.20
10/04/2025,Embassament de Susqueda (Osor),323.35,45.8,106.77
10/04/2025,Embassament de Riudecanyes,212.67,55.3,2.94
10/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.12,78.7,19.20
10/04/2025,Embassament de Siurana (Cornudella de Montsant),467.92,24.7,3.02
10/04/2025,Embassament de Sau (Vilanova de Sau),416.31,72.8,120.25
10/04/2025,Embassament de Darnius Boadella (Darnius),151.97,65.3,39.90
10/04/2025,Embassament de la Baells (Cercs),629.33,97.8,107.00
09/04/2025,Embassament de Darnius Boadella (Darnius),151.95,65.2,39.83
09/04/2025,Embassament de Sau (Vilanova de Sau),416.38,73.0,120.59
09/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.08,78.5,19.15
09/04/2025,Embassament de Susqueda (Osor),322.87,45.2,105.21
09/04/2025,Embassament de Siurana (Cornudella de Montsant),467.88,24.6,3.01
09/04/2025,Embassament de Foix (Castellet i la Gornal),100.48,99.8,3.73
09/04/2025,Embassament de Riudecanyes,212.62,55.1,2.93
09/04/2025,Embassament de la Llosa del Cavall (Navès),792.04,57.3,45.87
09/04/2025,Embassament de la Baells (Cercs),629.32,97.7,106.96
08/04/2025,Embassament de Susqueda (Osor),322.42,44.5,103.76
08/04/2025,Embassament de Foix (Castellet i la Gornal),100.50,100.1,3.75
08/04/2025,Embassament de Sau (Vilanova de Sau),416.45,73.2,120.95
08/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.04,78.3,19.10
08/04/2025,Embassament de la Llosa del Cavall (Navès),791.88,56.9,45.55
08/04/2025,Embassament de Siurana (Cornudella de Montsant),467.85,24.5,3.00
08/04/2025,Embassament de la Baells (Cercs),629.35,97.9,107.08
08/04/2025,Embassament de Darnius Boadella (Darnius),151.92,65.0,39.74
08/04/2025,Embassament de Riudecanyes,212.57,54.8,2.91
07/04/2025,Embassament de Foix (Castellet i la Gornal),100.52,100.5,3.76
07/04/2025,Embassament de Sau (Vilanova de Sau),416.55,73.5,121.43
07/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.00,78.1,19.05
07/04/2025,Embassament de Riudecanyes,212.52,54.5,2.90
07/04/2025,Embassament de la Llosa del Cavall (Navès),791.71,56.6,45.24
07/04/2025,Embassament de Darnius Boadella (Darnius),151.88,64.9,39.66
07/04/2025,Embassament de Siurana (Cornudella de Montsant),467.81,24.4,2.99
07/04/2025,Embassament de la Baells (Cercs),629.39,98.0,107.22
07/04/2025,Embassament de Susqueda (Osor),321.93,43.9,102.19
06/04/2025,Embassament de la Baells (Cercs),629.44,98.1,107.39
06/04/2025,Embassament de Sau (Vilanova de Sau),416.50,73.3,121.19
06/04/2025,Embassament de Darnius Boadella (Darnius),151.85,64.8,39.58
06/04/2025,Embassament de Susqueda (Osor),321.69,43.5,101.44
06/04/2025,Embassament de Sant Ponç (Clariana de Cardener),525.95,77.9,18.99
06/04/2025,Embassament de la Llosa del Cavall (Navès),791.56,56.2,44.95
06/04/2025,Embassament de Siurana (Cornudella de Montsant),467.77,24.3,2.97
06/04/2025,Embassament de Riudecanyes,212.47,54.2,2.88
06/04/2025,Embassament de Foix (Castellet i la Gornal),100.53,100.6,3.76
05/04/2025,Embassament de la Llosa del Cavall (Navès),791.41,55.8,44.67
05/04/2025,Embassament de Darnius Boadella (Darnius),151.81,64.6,39.47
05/04/2025,Embassament de Sant Ponç (Clariana de Cardener),525.89,77.6,18.91
05/04/2025,Embassament de Foix (Castellet i la Gornal),100.53,100.6,3.76
05/04/2025,Embassament de la Baells (Cercs),629.51,98.4,107.64
05/04/2025,Embassament de Sau (Vilanova de Sau),416.27,72.7,120.07
05/04/2025,Embassament de Siurana (Cornudella de Montsant),467.72,24.2,2.96
05/04/2025,Embassament de Riudecanyes,212.41,53.8,2.86
05/04/2025,Embassament de Susqueda (Osor),321.70,43.6,101.49
04/04/2025,Embassament de la Llosa del Cavall (Navès),791.27,55.5,44.41
04/04/2025,Embassament de la Baells (Cercs),629.57,98.6,107.87
04/04/2025,Embassament de Siurana (Cornudella de Montsant),467.67,24.1,2.94
04/04/2025,Embassament de Riudecanyes,212.33,53.4,2.84
04/04/2025,Embassament de Sau (Vilanova de Sau),416.04,72.0,118.95
04/04/2025,Embassament de Sant Ponç (Clariana de Cardener),525.84,77.3,18.85
04/04/2025,Embassament de Susqueda (Osor),321.69,43.5,101.45
04/04/2025,Embassament de Darnius Boadella (Darnius),151.77,64.4,39.35
04/04/2025,Embassament de Foix (Castellet i la Gornal),100.52,100.6,3.76
03/04/2025,Embassament de Sant Ponç (Clariana de Cardener),525.79,77.1,18.79
03/04/2025,Embassament de Riudecanyes,212.26,53.0,2.82
03/04/2025,Embassament de la Baells (Cercs),629.49,98.3,107.60
03/04/2025,Embassament de Foix (Castellet i la Gornal),100.53,100.7,3.76
03/04/2025,Embassament de la Llosa del Cavall (Navès),791.09,55.1,44.07
03/04/2025,Embassament de Siurana (Cornudella de Montsant),467.61,23.9,2.92
03/04/2025,Embassament de Darnius Boadella (Darnius),151.73,64.2,39.22
03/04/2025,Embassament de Susqueda (Osor),321.65,43.5,101.33
03/04/2025,Embassament de Sau (Vilanova de Sau),415.80,71.3,117.78
02/04/2025,Embassament de Riudecanyes,212.17,52.5,2.79
02/04/2025,Embassament de Sau (Vilanova de Sau),415.50,70.4,116.34
02/04/2025,Embassament de Siurana (Cornudella de Montsant),467.54,23.8,2.90
02/04/2025,Embassament de la Llosa del Cavall (Navès),790.91,54.7,43.75
02/04/2025,Embassament de Darnius Boadella (Darnius),151.67,64.0,39.08
02/04/2025,Embassament de Foix (Castellet i la Gornal),100.53,100.7,3.76
02/04/2025,Embassament de Susqueda (Osor),321.68,43.5,101.42
02/04/2025,Embassament de Sant Ponç (Clariana de Cardener),525.72,76.7,18.71
02/04/2025,Embassament de la Baells (Cercs),629.38,98.0,107.19
01/04/2025,Embassament de Darnius Boadella (Darnius),151.61,63.7,38.92
01/04/2025,Embassament de Siurana (Cornudella de Montsant),467.46,23.5,2.87
01/04/2025,Embassament de Susqueda (Osor),321.69,43.5,101.44
01/04/2025,Embassament de Foix (Castellet i la Gornal),100.53,100.6,3.76
01/04/2025,Embassament de la Baells (Cercs),629.27,97.6,106.79
01/04/2025,Embassament de Riudecanyes,212.07,51.7,2.75
01/04/2025,Embassament de la Llosa del Cavall (Navès),790.73,54.3,43.42
01/04/2025,Embassament de Sant Ponç (Clariana de Cardener),525.66,76.5,18.64
01/04/2025,Embassament de Sau (Vilanova de Sau),415.20,69.5,114.92
31/03/2025,Embassament de Sant Ponç (Clariana de Cardener),525.61,76.2,18.57
31/03/2025,Embassament de Darnius Boadella (Darnius),151.55,63.4,38.75
31/03/2025,Embassament de Riudecanyes,211.99,51.5,2.74
31/03/2025,Embassament de Siurana (Cornudella de Montsant),467.38,23.3,2.85
31/03/2025,Embassament de la Llosa del Cavall (Navès),790.56,53.9,43.11
31/03/2025,Embassament de la Baells (Cercs),629.21,97.4,106.59
31/03/2025,Embassament de Susqueda (Osor),321.69,43.5,101.44
31/03/2025,Embassament de Foix (Castellet i la Gornal),100.52,100.6,3.76
31/03/2025,Embassament de Sau (Vilanova de Sau),414.89,68.6,113.42
30/03/2025,Embassament de Darnius Boadella (Darnius),151.47,63.1,38.55
30/03/2025,Embassament de Susqueda (Osor),321.68,43.5,101.42
30/03/2025,Embassament de la Baells (Cercs),629.16,97.2,106.40
30/03/2025,Embassament de la Llosa del Cavall (Navès),790.38,53.5,42.79
30/03/2025,Embassament de Riudecanyes,211.89,50.9,2.71
30/03/2025,Embassament de Sau (Vilanova de Sau),414.54,67.6,111.77
30/03/2025,Embassament de Foix (Castellet i la Gornal),100.52,100.5,3.76
30/03/2025,Embassament de Sant Ponç (Clariana de Cardener),525.54,75.9,18.49
30/03/2025,Embassament de Siurana (Cornudella de Montsant),467.28,23.1,2.82
29/03/2025,Embassament de Siurana (Cornudella de Montsant),467.17,22.9,2.79
29/03/2025,Embassament de Foix (Castellet i la Gornal),100.53,100.6,3.76
29/03/2025,Embassament de Sant Ponç (Clariana de Cardener),525.47,75.5,18.41
29/03/2025,Embassament de la Llosa del Cavall (Navès),790.18,53.0,42.42
29/03/2025,Embassament de Sau (Vilanova de Sau),414.13,66.5,109.88
29/03/2025,Embassament de Riudecanyes,211.77,50.3,2.68
29/03/2025,Embassament de la Baells (Cercs),629.08,97.0,106.10
29/03/2025,Embassament de Darnius Boadella (Darnius),151.39,62.7,38.31
29/03/2025,Embassament de Susqueda (Osor),321.66,43.5,101.37
28/03/2025,Embassament de Darnius Boadella (Darnius),151.28,62.2,38.02
28/03/2025,Embassament de Riudecanyes,211.63,49.6,2.64
28/03/2025,Embassament de la Llosa del Cavall (Navès),789.95,52.5,42.02
28/03/2025,Embassament de la Baells (Cercs),628.93,96.5,105.57
28/03/2025,Embassament de Sau (Vilanova de Sau),413.65,65.1,107.65
28/03/2025,Embassament de Sant Ponç (Clariana de Cardener),525.37,75.0,18.28
28/03/2025,Embassament de Foix (Castellet i la Gornal),100.53,100.7,3.77
28/03/2025,Embassament de Siurana (Cornudella de Montsant),467.03,22.5,2.75
28/03/2025,Embassament de Susqueda (Osor),321.64,43.5,101.28
27/03/2025,Embassament de Sau (Vilanova de Sau),413.05,63.5,104.94
27/03/2025,Embassament de Susqueda (Osor),321.62,43.5,101.25
27/03/2025,Embassament de Foix (Castellet i la Gornal),100.53,100.7,3.77
27/03/2025,Embassament de Siurana (Cornudella de Montsant),466.86,22.1,2.71
27/03/2025,Embassament de Darnius Boadella (Darnius),151.13,61.6,37.62
27/03/2025,Embassament de Sant Ponç (Clariana de Cardener),525.24,74.4,18.13
27/03/2025,Embassament de Riudecanyes,211.48,48.7,2.59
27/03/2025,Embassament de la Llosa del Cavall (Navès),789.68,51.9,41.54
27/03/2025,Embassament de la Baells (Cercs),628.73,95.8,104.85
26/03/2025,Embassament de la Llosa del Cavall (Navès),789.35,51.2,40.97
26/03/2025,Embassament de Siurana (Cornudella de Montsant),466.65,21.7,2.65
