percentatge_volum_embassat,dia,volum_embassat,estaci,nivell_absolut,id
27.8,2002-01-30T00:00:00.000,46.01,Embassament de Sau (Vilanova de Sau),395.29,20020130L08303-72-00001
16,2001-11-26T00:00:00.000,1.96,Embassament de Siurana (Cornudella de Montsant),463.67,20011126L43049-72-00003
16.5,2001-12-10T00:00:00.000,2.01,Embassament de Siurana (Cornudella de Montsant),463.97,20011210L43049-72-00003
13.8,2001-10-29T00:00:00.000,1.69,Embassament de Siurana (Cornudella de Montsant),462.32,20011029L43049-72-00003
12.8,2001-09-14T00:00:00.000,1.56,Embassament de Siurana (Cornudella de Montsant),461.64,20010914L43049-72-00003
33.8,2001-09-17T00:00:00.000,20.64,Embassament de Darnius Boadella (Darnius),141.81,20010917L17060-72-00002
28,2002-02-14T00:00:00.000,46.25,Embassament de Sau (Vilanova de Sau),395.38,20020214L08303-72-00001
30.8,2001-11-17T00:00:00.000,18.79,Embassament de Darnius Boadella (Darnius),140.65,20011117L17060-72-00002
34.2,2001-09-02T00:00:00.000,1.82,Embassament de Riudecanyes,208.35,20010902L43127-72-00002
29.6,2001-12-09T00:00:00.000,48.9,Embassament de Sau (Vilanova de Sau),396.34,20011209L08303-72-00001
32,2001-11-27T00:00:00.000,52.95,Embassament de Sau (Vilanova de Sau),397.76,20011127L08303-72-00001
31.2,2001-10-31T00:00:00.000,19.04,Embassament de Darnius Boadella (Darnius),140.81,20011031L17060-72-00002
35.2,2001-10-05T00:00:00.000,58.1,Embassament de Sau (Vilanova de Sau),399.47,20011005L08303-72-00001
31.5,2001-12-14T00:00:00.000,19.27,Embassament de Darnius Boadella (Darnius),140.96,20011214L17060-72-00002
16.4,2001-12-08T00:00:00.000,2.01,Embassament de Siurana (Cornudella de Montsant),463.93,20011208L43049-72-00003
29.5,2002-01-15T00:00:00.000,48.75,Embassament de Sau (Vilanova de Sau),396.29,20020115L08303-72-00001
33.6,2001-09-03T00:00:00.000,1.79,Embassament de Riudecanyes,208.19,20010903L43127-72-00002
26.7,2001-09-25T00:00:00.000,1.42,Embassament de Riudecanyes,206.26,20010925L43127-72-00002
31.1,2002-01-06T00:00:00.000,19.02,Embassament de Darnius Boadella (Darnius),140.8,20020106L17060-72-00002
35.6,2002-02-08T00:00:00.000,1.89,Embassament de Riudecanyes,208.71,20020208L43127-72-00002
46.2,2001-11-01T00:00:00.000,36.94,Embassament de la Llosa del Cavall (Navès),786.12,20011101L25146-72-00002
31.6,2001-11-29T00:00:00.000,52.22,Embassament de Sau (Vilanova de Sau),397.51,20011129L08303-72-00001
24.9,2001-10-25T00:00:00.000,1.33,Embassament de Riudecanyes,205.73,20011025L43127-72-00002
13.7,2001-10-24T00:00:00.000,1.67,Embassament de Siurana (Cornudella de Montsant),462.25,20011024L43049-72-00003
33.2,2002-01-11T00:00:00.000,1.77,Embassament de Riudecanyes,208.08,20020111L43127-72-00002
19.3,2002-01-19T00:00:00.000,2.36,Embassament de Siurana (Cornudella de Montsant),465.42,20020119L43049-72-00003
62.7,2001-09-05T00:00:00.000,50.18,Embassament de la Llosa del Cavall (Navès),792.61,20010905L25146-72-00002
52.4,2001-10-02T00:00:00.000,41.9,Embassament de la Llosa del Cavall (Navès),788.57,20011002L25146-72-00002
12.8,2001-09-06T00:00:00.000,1.56,Embassament de Siurana (Cornudella de Montsant),461.64,20010906L43049-72-00003
28.6,2001-12-09T00:00:00.000,1.52,Embassament de Riudecanyes,206.82,20011209L43127-72-00002
51.2,2001-08-20T00:00:00.000,84.53,Embassament de Sau (Vilanova de Sau),407.08,20010820L08303-72-00001
16.7,2001-12-17T00:00:00.000,2.04,Embassament de Siurana (Cornudella de Montsant),464.1,20011217L43049-72-00003
64.4,2001-09-01T00:00:00.000,51.5,Embassament de la Llosa del Cavall (Navès),793.21,20010901L25146-72-00002
20,2002-02-04T00:00:00.000,2.45,Embassament de Siurana (Cornudella de Montsant),465.78,20020204L43049-72-00003
31.8,2001-10-16T00:00:00.000,52.52,Embassament de Sau (Vilanova de Sau),397.61,20011016L08303-72-00001
32.3,2001-10-28T00:00:00.000,53.45,Embassament de Sau (Vilanova de Sau),397.93,20011028L08303-72-00001
17,2001-12-28T00:00:00.000,2.07,Embassament de Siurana (Cornudella de Montsant),464.27,20011228L43049-72-00003
33,2001-09-22T00:00:00.000,20.14,Embassament de Darnius Boadella (Darnius),141.5,20010922L17060-72-00002
33.9,2001-10-09T00:00:00.000,55.95,Embassament de Sau (Vilanova de Sau),398.76,20011009L08303-72-00001
31.4,2001-10-19T00:00:00.000,51.93,Embassament de Sau (Vilanova de Sau),397.41,20011019L08303-72-00001
30.9,2001-11-08T00:00:00.000,51.15,Embassament de Sau (Vilanova de Sau),397.13,20011108L08303-72-00001
26.9,2001-09-24T00:00:00.000,1.43,Embassament de Riudecanyes,206.31,20010924L43127-72-00002
28.9,2001-12-14T00:00:00.000,1.54,Embassament de Riudecanyes,206.91,20011214L43127-72-00002
